iter	Passed	Remaining
0	42	12739
1	73	11002
2	110	10940
3	138	10243
4	168	9945
5	202	9918
6	231	9677
7	261	9559
8	290	9404
9	321	9311
10	348	9166
11	377	9054
12	408	9010
13	441	9020
14	471	8956
15	501	8907
16	529	8820
17	557	8734
18	586	8667
19	616	8624
20	645	8579
21	674	8525
22	703	8477
23	735	8454
24	764	8414
25	794	8375
26	822	8315
27	852	8278
28	880	8230
29	909	8182
30	939	8150
31	970	8124
32	1000	8095
33	1032	8080
34	1072	8117
35	1114	8175
36	1153	8202
37	1196	8252
38	1235	8270
39	1271	8267
40	1308	8267
41	1347	8276
42	1386	8285
43	1422	8277
44	1458	8266
45	1495	8255
46	1531	8246
47	1568	8232
48	1604	8221
49	1642	8211
50	1675	8180
51	1705	8133
52	1738	8102
53	1777	8099
54	1812	8074
55	1848	8052
56	1892	8069
57	1931	8057
58	1968	8039
59	2007	8028
60	2049	8029
61	2094	8040
62	2133	8027
63	2163	7978
64	2193	7929
65	2221	7875
66	2253	7835
67	2281	7784
68	2308	7727
69	2335	7672
70	2363	7621
71	2390	7570
72	2417	7516
73	2449	7482
74	2477	7433
75	2505	7385
76	2533	7338
77	2561	7290
78	2587	7239
79	2613	7188
80	2638	7135
81	2665	7085
82	2691	7036
83	2716	6985
84	2742	6937
85	2767	6887
86	2793	6838
87	2819	6791
88	2844	6742
89	2868	6693
90	2895	6649
91	2920	6602
92	2945	6555
93	2969	6507
94	2994	6462
95	3020	6418
96	3044	6371
97	3068	6324
98	3093	6280
99	3117	6235
100	3142	6191
101	3167	6147
102	3190	6103
103	3215	6059
104	3238	6013
105	3261	5969
106	3286	5927
107	3310	5884
108	3332	5839
109	3355	5796
110	3380	5755
111	3403	5712
112	3427	5671
113	3450	5629
114	3473	5587
115	3495	5545
116	3519	5505
117	3541	5463
118	3565	5422
119	3586	5380
120	3608	5338
121	3630	5296
122	3652	5255
123	3674	5215
124	3697	5176
125	3718	5135
126	3740	5095
127	3762	5056
128	3785	5017
129	3806	4977
130	3829	4940
131	3850	4900
132	3871	4861
133	3894	4823
134	3916	4786
135	3938	4749
136	3959	4711
137	3981	4674
138	4003	4637
139	4025	4600
140	4048	4564
141	4069	4528
142	4091	4491
143	4113	4456
144	4135	4420
145	4156	4383
146	4178	4348
147	4202	4315
148	4224	4280
149	4245	4245
150	4267	4210
151	4288	4175
152	4310	4141
153	4332	4107
154	4356	4075
155	4379	4042
156	4402	4009
157	4423	3975
158	4446	3943
159	4471	3912
160	4493	3879
161	4514	3845
162	4536	3812
163	4557	3779
164	4579	3747
165	4601	3714
166	4623	3681
167	4645	3650
168	4667	3617
169	4690	3586
170	4711	3554
171	4733	3522
172	4754	3490
173	4777	3459
174	4800	3428
175	4822	3397
176	4844	3366
177	4866	3335
178	4888	3304
179	4910	3273
180	4932	3243
181	4954	3212
182	4976	3181
183	4998	3151
184	5020	3120
185	5042	3090
186	5064	3060
187	5087	3030
188	5109	3000
189	5136	2973
190	5157	2943
191	5178	2913
192	5200	2883
193	5223	2853
194	5244	2824
195	5266	2794
196	5288	2765
197	5311	2736
198	5334	2707
199	5355	2677
200	5377	2648
201	5398	2619
202	5421	2590
203	5442	2561
204	5464	2532
205	5486	2503
206	5507	2474
207	5531	2446
208	5552	2417
209	5574	2389
210	5596	2360
211	5624	2334
212	5646	2306
213	5669	2278
214	5691	2249
215	5713	2221
216	5734	2193
217	5757	2165
218	5778	2137
219	5801	2109
220	5822	2081
221	5845	2053
222	5867	2026
223	5889	1998
224	5911	1970
225	5933	1942
226	5955	1915
227	5975	1886
228	5996	1859
229	6019	1831
230	6041	1804
231	6062	1776
232	6083	1749
233	6105	1722
234	6127	1694
235	6149	1667
236	6171	1640
237	6193	1613
238	6216	1586
239	6239	1559
240	6259	1532
241	6281	1505
242	6304	1478
243	6326	1451
244	6348	1425
245	6369	1398
246	6391	1371
247	6412	1344
248	6433	1317
249	6454	1290
250	6476	1264
251	6497	1237
252	6519	1211
253	6541	1184
254	6562	1158
255	6584	1131
256	6606	1105
257	6629	1079
258	6650	1052
259	6674	1026
260	6695	1000
261	6717	974
262	6739	948
263	6761	922
264	6783	895
265	6805	869
266	6827	843
267	6848	817
268	6870	791
269	6891	765
270	6913	739
271	6934	713
272	6956	687
273	6978	662
274	7000	636
275	7026	610
276	7050	585
277	7072	559
278	7094	534
279	7116	508
280	7138	482
281	7161	457
282	7183	431
283	7205	405
284	7227	380
285	7249	354
286	7271	329
287	7292	303
288	7314	278
289	7336	252
290	7359	227
291	7381	202
292	7403	176
293	7426	151
294	7448	126
295	7471	100
296	7492	75
297	7514	50
298	7536	25
299	7558	0
